RUN	computerdatabase.advanced.AdvancedSimulationStep01	advancedsimulationstep01	1632309586898	 	3.6.1
USER	Scenario Name	START	1632309587453
REQUEST		Home	1632309587468	1632309587692	OK	 
REQUEST		Home Redirect 1	1632309587696	1632309587807	OK	 
REQUEST		Search	1632309588827	1632309588938	OK	 
REQUEST		Select	1632309589940	1632309590050	OK	 
REQUEST		Home	1632309591062	1632309591173	OK	 
REQUEST		Home Redirect 1	1632309591173	1632309591283	OK	 
REQUEST		Page 1	1632309593293	1632309593404	OK	 
REQUEST		Page 2	1632309594082	1632309594193	OK	 
REQUEST		Page 3	1632309594825	1632309594935	OK	 
REQUEST		Page 4	1632309595680	1632309595791	OK	 
REQUEST		Form	1632309600806	1632309600919	OK	 
REQUEST		Post	1632309601930	1632309602043	OK	 
REQUEST		Post Redirect 1	1632309602048	1632309602160	OK	 
USER	Scenario Name	END	1632309602162
